Format Version,1.22,Take Name,Take 2018-03-06 01.30.33 PM_009,Capture Frame Rate,120.022278,Export Frame Rate,120.022278,Capture Start Time,31 Dec 1969 04:05:55 +0000,Total Frames in Take,72710,Total Exported Frames,72710,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker5,RigidBody 01:Marker5,RigidBody 01:Marker5,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker1,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker2,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker3,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker4,RigidBody 01:Marker5,RigidBody 01:Marker5,RigidBody 01:Marker5
,,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,AC19634F213E11E8CFC00A7159F8ED8E,C6140,C6140,C6140,C6150,C6150,C6150,C6180,C6180,C6180,C6170,C6170,C6170,C6160,C6160,C6160
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008332,-35.379986,2.622681,-9.103165,-0.151894,-0.036425,1.633073,-0.095183,-0.006103,1.621078,-0.138474,0.02802,1.634521,-0.181711,0.002176,1.63925,-0.178914,-0.072855,1.622466,-0.165186,-0.133362,1.64805,-0.095932,-0.006507,1.627593,-0.138746,0.030368,1.643435,-0.182102,0.001818,1.643996,-0.1794,-0.074049,1.62744,-0.166102,-0.134341,1.654154
2,0.016664,-35.392544,2.629985,-9.086757,-0.151915,-0.036446,1.63304,-0.095213,-0.006117,1.621023,-0.138505,0.028001,1.634472,-0.181737,0.002152,1.639217,-0.178933,-0.072883,1.622448,-0.165188,-0.133382,1.64804,-0.095972,-0.006525,1.627778,-0.138766,0.03035,1.643223,-0.182096,0.001793,1.643719,-0.179434,-0.074076,1.627501,-0.166096,-0.134356,1.6541
3,0.024995,-35.400604,2.629712,-9.087257,-0.151932,-0.03647,1.633029,-0.095229,-0.006143,1.621008,-0.138522,0.027977,1.634452,-0.181753,0.002128,1.6392,-0.178949,-0.072908,1.622442,-0.165205,-0.133404,1.648043,-0.095974,-0.006548,1.627463,-0.138791,0.030319,1.643259,-0.182129,0.001775,1.643857,-0.179433,-0.074099,1.627418,-0.166111,-0.134372,1.654051
